createdAt,type,type_daily_count
2017-10-10,NOTE,4
2017-10-11,CALL,1
2017-10-11,NOTE,31
2017-10-11,TASK,1
2017-10-12,TASK,2
2017-10-17,NOTE,1
2017-10-17,PUBLISHING_TASK,4
2017-10-27,CALL,2
2017-10-27,NOTE,1
2017-10-30,TASK,2
2017-10-31,TASK,4
2017-11-02,NOTE,2
2017-11-06,CALL,1
2017-11-07,MEETING,1
2017-11-07,NOTE,1
2017-11-13,CALL,1
2017-11-16,CALL,1
2017-11-16,NOTE,1
2017-11-20,MEETING,1
2017-11-26,CALL,1
2017-11-26,NOTE,2
2017-11-27,NOTE,4
2017-11-27,TASK,1
2017-11-29,NOTE,2
2017-12-02,PUBLISHING_TASK,1
2017-12-04,CALL,26
2017-12-04,MEETING,1
2017-12-04,NOTE,3
2017-12-04,TASK,1
2017-12-06,MEETING,1
2017-12-08,TASK,3
2017-12-19,CALL,1
2017-12-20,NOTE,1
2017-12-21,CALL,1
2017-12-22,CALL,12
2017-12-22,PUBLISHING_TASK,1
2017-12-23,CALL,2
2017-12-27,CALL,7
2017-12-27,NOTE,1
2017-12-28,EMAIL,2
2017-12-28,NOTE,2
2017-12-30,CALL,6
2018-01-03,CALL,28
2018-01-03,TASK,4
2018-01-04,CALL,67
2018-01-04,TASK,45
2018-01-05,CALL,43
2018-01-05,NOTE,1
2018-01-05,TASK,17
2018-01-06,CALL,88
2018-01-06,TASK,2
2018-01-07,CALL,9
2018-01-09,CALL,65
2018-01-10,CALL,56
2018-01-10,NOTE,1
2018-01-10,TASK,1
2018-01-11,CALL,15
2018-01-11,NOTE,11
2018-01-11,TASK,2
2018-01-12,CALL,8
2018-01-12,NOTE,32
2018-01-13,CALL,24
2018-01-14,CALL,5
2018-01-14,TASK,1
2018-01-15,TASK,2
2018-01-16,CALL,22
2018-01-17,CALL,22
2018-01-18,CALL,55
2018-01-18,TASK,1
2018-01-19,CALL,35
2018-01-20,CALL,15
2018-01-20,NOTE,7
2018-01-21,CALL,5
2018-01-22,CALL,1
2018-01-23,CALL,39
2018-01-23,EMAIL,2
2018-01-24,CALL,40
2018-01-25,CALL,18
2018-01-25,NOTE,1
2018-01-26,CALL,9
2018-01-26,EMAIL,2
2018-01-26,NOTE,2
2018-01-26,TASK,1
2018-01-27,CALL,6
2018-01-30,CALL,30
2018-01-31,CALL,14
2018-01-31,NOTE,1
2018-02-01,CALL,18
2018-02-01,NOTE,1
2018-02-02,CALL,18
2018-02-02,NOTE,1
2018-02-03,CALL,23
2018-02-03,NOTE,4
2018-02-04,NOTE,1
2018-02-05,EMAIL,1
2018-02-06,CALL,27
2018-02-06,NOTE,8
2018-02-07,CALL,27
2018-02-07,NOTE,14
2018-02-08,CALL,38
2018-02-09,CALL,19
2018-02-09,NOTE,7
2018-02-09,PUBLISHING_TASK,4
2018-02-10,CALL,20
2018-02-10,NOTE,9
2018-02-10,TASK,6
2018-02-12,CALL,3
2018-02-12,TASK,1
2018-02-13,CALL,18
2018-02-13,TASK,9
2018-02-14,CALL,14
2018-02-15,CALL,5
2018-02-15,NOTE,6
2018-02-16,CALL,11
2018-02-16,NOTE,23
2018-02-16,TASK,31
2018-02-17,CALL,8
2018-02-17,TASK,23
2018-02-20,CALL,12
2018-02-20,NOTE,4
2018-02-20,TASK,13
2018-02-22,CALL,4
2018-02-22,NOTE,22
2018-02-22,TASK,43
2018-02-23,CALL,11
2018-02-23,NOTE,2
2018-02-23,TASK,2
2018-02-24,MEETING,1
2018-02-27,TASK,15
2018-02-28,TASK,6
2018-03-01,NOTE,1
2018-03-01,TASK,59
2018-03-02,TASK,13
2018-03-03,TASK,3
2018-03-06,TASK,23
2018-03-07,NOTE,2
2018-03-07,PUBLISHING_TASK,2
2018-03-07,TASK,8
2018-03-08,TASK,2
2018-03-09,TASK,6
2018-03-10,TASK,12
2018-03-12,CALL,1
2018-03-12,TASK,8
2018-03-13,EMAIL,1
2018-03-13,NOTE,21
2018-03-13,TASK,21
2018-03-14,TASK,14
2018-03-15,TASK,9
2018-03-16,TASK,22
2018-03-17,TASK,1
2018-03-19,NOTE,1
2018-03-19,PUBLISHING_TASK,1
2018-03-20,TASK,1
2018-03-21,CALL,1
2018-03-22,CALL,1
2018-03-24,CALL,1
2018-03-24,NOTE,2
2018-03-24,TASK,12
2018-03-27,NOTE,24
2018-03-27,TASK,29
2018-03-28,CALL,1
2018-03-28,NOTE,4
2018-03-28,TASK,1
2018-03-29,NOTE,4
2018-03-29,TASK,18
2018-03-30,NOTE,12
2018-04-01,NOTE,1
2018-04-02,NOTE,2
2018-04-03,NOTE,1
2018-04-03,TASK,13
2018-04-04,NOTE,18
2018-04-04,PUBLISHING_TASK,1
2018-04-04,TASK,17
2018-04-05,NOTE,29
2018-04-05,TASK,59
2018-04-06,TASK,18
2018-04-07,TASK,4
2018-04-09,NOTE,6
2018-04-09,TASK,2
2018-04-10,TASK,2
